event_id,phone_id,ad_id,provider,placement,length,event_ts
302a6ad258e8bc8438dd37c48a7c2eef,10444996ce47dcaf8f78b2cb6ab88575,5,Facebook,Top,1602,2019-07-04 18:42:45.216737
32ab35323ad4dcbb523a3aab53824ee9,9b303f069d2a763ea438f88012d37d24,1,Facebook,Top,320,2019-07-04 18:42:45.216757
c3a3655a967d30014d93b51e63e6fdde,e4e741412a34cc6e32c970f0721c7582,9,Facebook,Right,2106,2019-07-04 18:42:45.216774
d231498095171d06885e2828a1bfab87,7d1879aec00be2005f06d97a6db8c1c5,4,Snapchat,Left,900,2019-07-04 18:42:45.216792
1036b9c8d5e6f3903c61ad9f98f56ab6,49f5470682b1f7a430f49f4b4412dcd4,19,Instagram,Bottom,508,2019-07-04 18:42:45.216812
faf8914009908fbe44b298481ef6e9bb,921460d2f5947b36c3778d62ed8b74ac,5,Snapchat,Left,1850,2019-07-04 18:42:45.216830
0887d8ca3862b753ae5e09d0d1e8ec53,8a73f18deb75d8289b6adedf2639c12a,3,Snapchat,Bottom,439,2019-07-04 18:42:45.216849
d0edb9537c55a5dfd4061f2cf3a04693,60eefc87582cb7dabd9ed1e7743eff0e,5,Facebook,Center,728,2019-07-04 18:42:45.216866
f958715c47ec408857fa61ec51512bae,012978ab902ceb6c9138f2aa1f4b9993,4,Spotify,Center,656,2019-07-04 18:42:45.216884
7586ce191e4ff4af095b7158e392aff9,146c2e5cd129a6520c837d1be4f6cbc4,14,Facebook,Top,130,2019-07-04 18:42:45.216901
d46e9fe595684795bb24f17fc1bfab43,8d248172fdad7edf663e736a09017029,2,Snapchat,Right,1955,2019-07-04 18:42:45.216920
a5170e32eab21946607eea38dd9438e9,f57a9c71b0b2dad1c8dbca81ba380c24,4,Snapchat,Right,414,2019-07-04 18:42:45.216939
5245cfbc06d691b511b141a44db84d6a,dfa59912c349cdb27ddf91287828268c,13,Facebook,Left,434,2019-07-04 18:42:45.216955
b8723a947f939f504acb50005fe9044b,4e5774094f8f59685945d25776554c19,0,Spotify,Center,736,2019-07-04 18:42:45.216974
c68d139259480c730f88629d117cdc3f,a12b5da7ca973bd5ac2791c6703480a3,2,Snapchat,Right,1124,2019-07-04 18:42:45.216991
