event_id,phone_id,ad_id,provider,placement,length,event_ts
f19b73f3e9938ec23f531ef466bd21a3,3368a507c105e20323c1bec223090d9f,0,Facebook,Left,1353,2019-07-05 18:42:45.238395
b6d3e30163b6ac628b034aadce71642d,df70099ec4977bd277078f42af2126ec,15,Instagram,Center,1034,2019-07-05 18:42:45.238414
84e0265be22e279648d00a43c9cdd3c3,a8fae91fb321a8499b3512aef848fea0,10,Facebook,Left,1157,2019-07-05 18:42:45.238432
c80231f8d58f06901c3ac93d57ebe25a,139cc562543bff5b0ccbfd5cf09499ac,2,Spotify,Right,1524,2019-07-05 18:42:45.238450
b2c9a3d0b8b7cd6521dbf3031a8abe37,b086fa1d1b64099804c3e5236abb7e77,9,Snapchat,Top,1812,2019-07-05 18:42:45.238468
849a8c78253f92c5443b2fe804652ccf,4d583dec9a322d83e89e9239f83f2425,9,Instagram,Right,825,2019-07-05 18:42:45.238486
1a900eb79a9e4d18678d4c9c2da51b14,2df720549f55fb2ded3b3adbafbfca08,18,Facebook,Top,803,2019-07-05 18:42:45.238504
c21bd2757c7f97ba1354705ff27e9c9c,c51e0582e18a6105333ad7ad98cad716,3,Snapchat,Left,1334,2019-07-05 18:42:45.238522
3637a7f17d64d91cc06b28e8f36a882d,e96b61bb49f2364ae6c5341aa3fb17b7,8,Snapchat,Right,2346,2019-07-05 18:42:45.238539
ceb646281edf88f6a90e70bbbaadf357,ac30d4c3616e6addb8dda7d4a2a334ac,2,Instagram,Top,351,2019-07-05 18:42:45.238559
b3750cc328eab9c5a97d95d6b14f0529,ae8cd94ab3329bed5bed06a90891b63c,8,Instagram,Right,425,2019-07-05 18:42:45.238579
8877120cd6f77d2b948c579dce09ae36,c6ef20f2ae14913e8cb2dff237b1fe9d,3,Snapchat,Top,1715,2019-07-05 18:42:45.238597
d1422ba71e893e425aa4db08cc495ebc,1a732c0e75fb96bab083f15144318df4,6,Snapchat,Center,744,2019-07-05 18:42:45.238614
f68b57b73c6cf3fe45f2c0bf5bc4dd4a,e4719e742a967083ef093bdab91ea684,1,Spotify,Bottom,1641,2019-07-05 18:42:45.238632
a5134fe90784f6d7cb71d4cf71b691df,eafa8a5d3899863c5e10ac1c83b26234,3,Facebook,Bottom,604,2019-07-05 18:42:45.238649
3fa9789225dbddcdbf5f39fffae2a8e1,abf9101c88a3e3039891dfee0243d3f5,20,Instagram,Bottom,1919,2019-07-05 18:42:45.238668
d71d2ac68d7d9542b1f4ca1e05f3122a,11f8b3efaf908df7b232c1be756dec59,3,Snapchat,Bottom,1020,2019-07-05 18:42:45.238686
40680ddbd595ca94266bde07ccd011c4,e1acd01587ec5ce977400eb734d057bf,19,Instagram,Center,1036,2019-07-05 18:42:45.238704
87f7a2e86c77760435e62d2a884b5deb,64cf5d29ab38526ff4900da03cbf19f0,2,Facebook,Center,1129,2019-07-05 18:42:45.238724
9239a559f70afd6467358c008a6dc2d0,06cad9321872a912969c4b8c1ca4a908,6,Snapchat,Left,857,2019-07-05 18:42:45.238741
2a405bb362e9af76e57e310f706066ff,308a6bafac3dafad283e2eb23e02c710,5,Facebook,Center,1257,2019-07-05 18:42:45.238759
c364bd65a6d5871d3da21967537cf7c3,e1600eeaa7953b006b9fc976b78f4b15,8,Snapchat,Bottom,1343,2019-07-05 18:42:45.238777
2f8496992dd44ce12eb9ef3cb4fc3578,76b9fb947e8401c7b8b17761e5183840,9,Snapchat,Right,2145,2019-07-05 18:42:45.238794
40ec83b6abcef3d947ee62ad5c166a39,9497322745e6c2373f330209fa707aee,1,Instagram,Top,1034,2019-07-05 18:42:45.238820
32b305fe11688aff38ed2c27ca676ed6,a5377998d4c155db78c0ec46b04c15e1,19,Facebook,Bottom,623,2019-07-05 18:42:45.238838
8f30deaeaeeab1bbb10228292d714f9e,fe90e621ae9fccb6d37c2a9ef35bdf0f,1,Instagram,Bottom,731,2019-07-05 18:42:45.238858
267882ed320d64a3ac0a30762a987123,84d96d99ef85f6c6af4a1de46a537e5b,6,Snapchat,Left,701,2019-07-05 18:42:45.238877
1e8ef810d2f10b44793872d2e55b2fd6,42ef11c73c90717d961fde884d8d756d,11,Facebook,Center,1425,2019-07-05 18:42:45.238894
d92d800ab882d269930168e4fb8346ad,df33b6c979552fe7ae044854f0b71fcd,0,Spotify,Bottom,1411,2019-07-05 18:42:45.238912
c5beab295cc88aed0fd050b014ba3485,03a86133bdbe2df1fb022e86b3bd370f,18,Instagram,Top,136,2019-07-05 18:42:45.238930
8f3f4608601ddd3ae09bcf288d15c8eb,ae3ffac70e92847289cae9196ac741a1,3,Facebook,Left,2213,2019-07-05 18:42:45.238947
2a59c518415d2f5ec065f7b432bdd609,825cca0b0b8408f6e30923a93b114d6e,9,Facebook,Right,116,2019-07-05 18:42:45.238965
d1864da8af9987206a1172fe8f6a5774,033b9ddaa55f69ce06c86c9f5410f81c,9,Facebook,Left,1636,2019-07-05 18:42:45.238983
b03e97107b9c55440a180c30bdbac7fb,cef2300e34ba05056322d6029e270f3a,3,Instagram,Top,842,2019-07-05 18:42:45.239001
c5816422bc9fc818b31731674ccf147f,feb029f01412e8892be1e367ce8752d1,2,Snapchat,Bottom,1010,2019-07-05 18:42:45.239019
2f6c0c45c532027971e0dab74214b253,601b7ef5ae480f13f5e3cb25529a048b,6,Snapchat,Center,840,2019-07-05 18:42:45.239039
fe30b1613b96abf7b285bf82e173b98c,7f9c9e2cffe7680bb71bbaa9a3aa5663,21,Instagram,Right,1308,2019-07-05 18:42:45.239058
311d752a2542a3ac92461fb58f47be04,b443dab8f0fb2bd9cdb21de19849862a,2,Snapchat,Bottom,2102,2019-07-05 18:42:45.239076
eba0ed0783f5acd71ce0603c64208042,daedde27fbd263cddb35328004c88328,0,Spotify,Right,2242,2019-07-05 18:42:45.239094
c5fcceb6d80399e052f68668d9ee21e7,36c38422cfe6708ce5ca9610a90b10e3,0,Spotify,Left,247,2019-07-05 18:42:45.239115
58d2098f16d8c835691d1fa8251169cd,fa5571ebed40eea2d9d1f8966a068279,2,Spotify,Left,114,2019-07-05 18:42:45.239133
cdf5879e5d3364e5948f6b7fd2a0f02b,441cde4fc14ce5d16beae82eaff27707,3,Snapchat,Right,330,2019-07-05 18:42:45.239154
a70daf9fc1efc6205b2f2c2013c3bc17,4bd40861bfeff7573f2e2156e5896d85,21,Instagram,Bottom,819,2019-07-05 18:42:45.239172
945b0cc40c485e96359907d3a0d05f41,54d3f35855eb1fad884478b73a9c21dc,15,Facebook,Bottom,1121,2019-07-05 18:42:45.239190
8171d57b5d2814dea063a4afac4b3737,152eb37da0ac20b926b82ab34eba9335,8,Snapchat,Left,321,2019-07-05 18:42:45.239207
b1ee0d1654cc9874a2fc2f809c6eb9f4,468556f8687ba2ce904b27c0b2074b83,7,Facebook,Top,1617,2019-07-05 18:42:45.239226
eb4cff94aab45c1063495d4acac0e2be,fc6e747f62900ffd3712d4d125422405,6,Instagram,Bottom,2105,2019-07-05 18:42:45.239243
593e7397800e9b73601e200f9b11d45d,4b77d821783a8a4ef9762a32d1d2bf43,2,Spotify,Center,58,2019-07-05 18:42:45.239261
f09d43330bfd9389d114b2be8295c1a9,bb69681c0bac6fc6af180a011d7e0ae8,13,Facebook,Left,844,2019-07-05 18:42:45.239282
22d19d08149399ee86b12930ba8a20cd,69e440645211707bc6623394d1cbdee3,8,Snapchat,Right,944,2019-07-05 18:42:45.239301
61ea81512c41552da5fcf59e9f6965d4,b00cec7cd18212cd7cb0a0fda4720701,3,Snapchat,Center,1253,2019-07-05 18:42:45.239319
74fc5c10be3d13849bc128801ff47316,0455d8698e07f339e7bb2150a23fe101,2,Snapchat,Left,249,2019-07-05 18:42:45.239337
c8c96c0b5e801c89659007f04ec4dd5f,c99d49892c8432ae3c0297fe8a1f4499,0,Snapchat,Center,1812,2019-07-05 18:42:45.239354
95d8c9f7b4e9f0a3bd8eac94daadfe74,7db028a4d5dfa8a27cccc0aa3515f591,3,Snapchat,Center,1308,2019-07-05 18:42:45.239372
b65336623714e0908b7b1aebbedfc1e7,fe400ba354c77e6232fc31e3a231b726,15,Facebook,Left,1603,2019-07-05 18:42:45.239391
dc908dc09efcb32cac9135ff6411a6f5,0844e86b6c329080a6f5651931b6bff2,17,Instagram,Center,1626,2019-07-05 18:42:45.239410
d3236dade5557eea8b3650a636eadeb4,e5670a9fe77b4d8adcad539c5740dbc1,3,Snapchat,Right,1844,2019-07-05 18:42:45.239431
74169c125680fc8d6f9ea8d2ddd35f27,0d253d15b86e7320f2129254245752c1,12,Facebook,Bottom,2309,2019-07-05 18:42:45.239449
a179bb70679993b767898d4f4479beb0,4834067451bf863713f5c5c5b41928b0,7,Facebook,Top,1303,2019-07-05 18:42:45.239467
972a0185b2497c3bf9255d2b78df4aa9,15deb5b793d79a14a24885e39bc3dec9,16,Instagram,Left,615,2019-07-05 18:42:45.239485
43172098ea3cae02afa3fed039c638d4,39dfb06e9f3a376bafb18f20b58af2bf,2,Snapchat,Left,1822,2019-07-05 18:42:45.239507
34c5082157921c09b2e0005ae1d81652,d5f65ee9b9a3e139e9b34132d759fdbd,13,Facebook,Top,1502,2019-07-05 18:42:45.239525
67db8af4f3e3d3f105d568048ff33d6d,30fa87c56ae6a62fa8f7c6c2dc765404,10,Facebook,Bottom,2232,2019-07-05 18:42:45.239543
529af5ca5c9207d48d28827ef816462d,9ff0071470cc3ba2fec3825b758fa160,14,Instagram,Left,954,2019-07-05 18:42:45.239562
8820ff78d88af3307eb5fc0cccd5ce15,82c2b4a8f309902f1e20b143efafbab5,16,Instagram,Left,652,2019-07-05 18:42:45.239579
c3ed0b5eb7d10634fcd02762574fc4d8,a27f751d7c855d1fefb9c4f7304b6ba0,8,Facebook,Top,1833,2019-07-05 18:42:45.239597
84ec90e09d0af4872d95dbe1ce3e9745,57e28031d76cecc0bc10c9381ffee780,0,Spotify,Top,1620,2019-07-05 18:42:45.239614
f17372919fcfee33c3caa72e6f6d7932,66ed7ff0439ae3fe3ab39172f7773181,3,Facebook,Left,600,2019-07-05 18:42:45.239632
14ae86fce12e7be0d3f7ff823046ad1a,a83d37179fbf07ee23b4924119e90af5,4,Spotify,Bottom,542,2019-07-05 18:42:45.239651
0b8e79c89a24d00c0912150840d3a349,06537e1103d66059d4d71872b8e9295f,2,Snapchat,Bottom,1748,2019-07-05 18:42:45.239668
d01e298a53ba2ff5bb102de9f7e2eb1c,9a354cd057b2ec1ba5a05d5fd7cccbe8,5,Snapchat,Left,735,2019-07-05 18:42:45.239686
9082791cb913397703ab1cef387bad50,4f16d7861a61a6b4ea4d5bb543f65fb4,5,Snapchat,Bottom,1508,2019-07-05 18:42:45.239703
08546a8ca561006231a6d7fac60579db,55c8479d1064fa55499af3f2539f51f9,15,Facebook,Top,1227,2019-07-05 18:42:45.239723
4d079c590c076cc4bf838981af6d94f9,033b9ddaa55f69ce06c86c9f5410f81c,2,Snapchat,Left,1153,2019-07-05 18:42:45.239745
804832b918aa2cfcfb30ca4111b9ae71,fd953f3fe66e196f17d071ddf54361ce,3,Instagram,Left,324,2019-07-05 18:42:45.239763
570651a76f3228671f413ab94ae6836e,b39bafba8c0ebca54949a9cdc2719060,11,Instagram,Top,2252,2019-07-05 18:42:45.239780
548b50abbe7ef2b979261fd2d0a43a59,6de267565dd3501a81ef1cdb20300dc8,20,Instagram,Right,56,2019-07-05 18:42:45.239798
ab618519b9752343f1a1d9b12daf3390,3fe994ec3e107275c54c786c1aa9e636,2,Snapchat,Top,1804,2019-07-05 18:42:45.239816
80cba8879a3ee68b2696157198cd7f11,36a0427f8bae3d787fe161d48c2a4a76,3,Spotify,Bottom,720,2019-07-05 18:42:45.239833
7951580fec5c549eabbd018c1de89e4e,968dd1a3e18eac32ceb648523b9a98ff,0,Spotify,Left,1457,2019-07-05 18:42:45.239852
c6099fe39e95ae682d168aff99df0027,90960bd529e1eec28d809eeaefb6ff19,1,Facebook,Left,940,2019-07-05 18:42:45.239870
17a6898266122a1459273bf9a48c0e29,25460350be81405909e1b9c7a705a47c,7,Facebook,Left,1247,2019-07-05 18:42:45.239893
a0d9fd6d9653f051b849c1aa566e5d21,bea1e36a2ed41f5ef7197f18d8753a3c,5,Snapchat,Right,1136,2019-07-05 18:42:45.239911
0771d2f06752e6a60353161932790fea,857ba8443768bcac8eb0eca83e08ba5f,9,Facebook,Center,654,2019-07-05 18:42:45.239929
203eda61de78cbf6a7e2a0de914f5bff,23b1d703a8868dd0c5db695232060ca2,15,Facebook,Bottom,1649,2019-07-05 18:42:45.239946
23178dc0e02275848e6de8c2d7da60f3,941fa85dc9b9642fd11f0b68bdc4fd75,2,Spotify,Left,2054,2019-07-05 18:42:45.239966
86f920fd98c527d6a52bab37ecb492b7,a6d42bcb37fb92d3848570f9640af124,7,Snapchat,Top,1458,2019-07-05 18:42:45.239984
a31f0b1864a288b39d0abf2d766ecc1e,457537b75387ae2cd95f090221b2bf78,0,Snapchat,Center,2211,2019-07-05 18:42:45.240002
86805389508e864a612871955906f8ba,ff9fcffd54d06201f72898f32662341a,1,Instagram,Top,733,2019-07-05 18:42:45.240023
7ab0659448d1244e7843492ad29d82bb,72dc48334659a8476d0a0d6fba7ae6e3,21,Instagram,Bottom,105,2019-07-05 18:42:45.240041
7753a257a85858d93e2214dfdcc0d3ee,44454d2f614b5d34e5e0338b65523225,0,Spotify,Center,1641,2019-07-05 18:42:45.240058
766f5352f81e4eb7919816dcdc199b80,91793ea5542ce0e1edf3c35df72acf1e,18,Facebook,Center,653,2019-07-05 18:42:45.240076
742f0c412a0c2392851e9f47d7c326b3,22b5a4f8dcd6e86b03282a3c5eca2a4d,11,Instagram,Center,1859,2019-07-05 18:42:45.240095
68f27d9301b8d093ce9e001990a26932,a98eb17dacea6895fbee5bc153ebef52,6,Facebook,Center,2128,2019-07-05 18:42:45.240113
43566abac97bc89c40529913c86c19b4,d85864db5b118bafa477323bdc77f479,0,Snapchat,Bottom,155,2019-07-05 18:42:45.240131
89ef80d71e653102ea4d1e16907df41d,dc083a54d08217b9b1fdc3eb3d8911ad,4,Spotify,Center,2158,2019-07-05 18:42:45.240148
e09129db1201e3b7acf52406da5f27ed,09b21c8b4bc2445d68ee4b73a9b73b80,15,Facebook,Right,659,2019-07-05 18:42:45.240166
980f12b1c22ba3f4d1b31c89bfca5e39,5b6a2c68874e58a98673e5f54575c0d7,1,Snapchat,Left,528,2019-07-05 18:42:45.240185
bb6ff76cd3a33d3a06a033655fe00996,969a026d715423638fd3c1e8247c8d8c,1,Spotify,Left,1343,2019-07-05 18:42:45.240207
c304dad394d4aa6157aac22c2a290e65,76f182984af9a5aabb46cb5d753df634,2,Spotify,Bottom,2348,2019-07-05 18:42:45.240239
3a82ac2287b241fd399b13afc6da7ba8,d238ae7b6922d2b86a3b4a4b12801c9e,4,Snapchat,Center,716,2019-07-05 18:42:45.240257
67672e286e244d9ed1a27fc346c95b22,356f82521936932be8aaf678e45f8023,9,Snapchat,Right,103,2019-07-05 18:42:45.240275
b85d96d06e4c11183ae534cc74a5453e,228dcb24dc76944253ea5d6c1454280b,6,Instagram,Bottom,1317,2019-07-05 18:42:45.240296
006e0713f375f0c25f46903e581300c1,03eaf305ee742f851ca1d5d5ad74f3ba,7,Instagram,Right,1311,2019-07-05 18:42:45.240313
71648a7b146449b7af05489b2da9fdc4,c381dc60c65c91fabcba460d20ad7535,4,Spotify,Center,1506,2019-07-05 18:42:45.240334
725f483354988dd9985dc7e39f97502d,2074fe57be03f62e61b116f081b491b4,0,Spotify,Left,1108,2019-07-05 18:42:45.240352
7bc820b264c6ab639c7c63d292a8b6e4,d8896c7792dba3cd21b05b1a63240a07,1,Snapchat,Right,241,2019-07-05 18:42:45.240370
84ce31364a5364166b797944c93d76e1,20756a88847583a230d71ae2f17da229,6,Instagram,Bottom,2158,2019-07-05 18:42:45.240389
ec78055293dbc48fb33b22dd89a98760,9cb54412c6ac35cd6da47593c79f4a61,6,Snapchat,Center,1250,2019-07-05 18:42:45.240406
dc6f1246b968b453d84d314800c3dc19,9d350b95b320eaf4d69ee211818289c2,9,Snapchat,Left,2255,2019-07-05 18:42:45.240424
65c39cf6aaacf99adea001aaa365da08,edc0b6650353c71d9b9648e1c4dca8dd,6,Snapchat,Left,1458,2019-07-05 18:42:45.240444
