event_id,user_id,phone_id,property,value,event_ts
438913670062a47f0cec82d76e3cd934,98057e95bff562a82857855c9b1c8eec,511764367efa9f857b2810ce134262bd,politics,Other,2019-07-06 18:42:45.259066
fd1e7f4ce452ab8c0daf653874192b7e,8851d86ab99a107c1bbf12f3994115ab,8c97c0e20dede709d2cc7e5fa4673e7a,sex,F,2019-07-06 18:42:45.259084
6b4e19fe9cfbac0ac61384e7927ea58c,71fadd09b825156c5e8465328271bfb1,eab1d80db37d08da5af4d81461fe7028,drinking,Yes,2019-07-06 18:42:45.259139
f844d55ad2f15726bdc1f1ed188439bb,da50987c744b9579664c0f38ea8f7b06,bcec0bebf22c4a23ee0e706c8a053ae2,notifications,False,2019-07-06 18:42:45.259175
a71f55ffc12fd8b69bccebeb3d356a4c,15afefd6bf3fdc7862d38cba32afef8f,d3eb6bbfb02d5cc73a644f1b21528dd6,smoking,No,2019-07-06 18:42:45.259192
ead101ec0b94f6fd2d784f6eec972fad,abe2def19cc5f27a4f88dc4fead10a31,6f90401bcdae04698c0fa5406354a286,drinking,Yes,2019-07-06 18:42:45.259209
826bf023b1a03c084c3bf99573102dbe,b2086f9bdaff715de45917cd6afb185f,be277bd9cfb646e35925afd55daef291,politics,NULL,2019-07-06 18:42:45.259229
2e108b5860b49decea32c025112bc63f,c6aa1d357d232e5dc684e2aac4ac1d4c,283a10bfbc990a78b661ed40280b1d80,notifications,True,2019-07-06 18:42:45.259248
d1b9c95265586e1977171076fdcaec0e,df92e812a43031f465953622a10d8c6e,91cd02a87616b10929d0ea451470ff01,politics,NULL,2019-07-06 18:42:45.259265
6a358fdf0042f54be4fdf21c035e1907,6b4e2fb8b40997944796cf6a3ac246c5,188d4ea6fbda2e475e48d52f719f618e,drinking,NULL,2019-07-06 18:42:45.259287
a22fe65e936fcb76c4632097ec6c5062,a9eb34420e581b2776b7737d9f5d6215,5b0ceaa6426bf0de0a2f520027d31a6e,drinking,No,2019-07-06 18:42:45.259304
8c3725984ff86ac0a0484255cc1a7e16,7e1730932364b846242383312043b457,d5bf28cf20c466fd53b1ef46b5c11259,politics,Moderate,2019-07-06 18:42:45.259321
a6fcac66b1d5ba7764f52ec46f416aeb,06a063dbb4d59a7ab74714a4fb69caae,e80cfe9723e6c8fc426a4c17c6560974,sex,NULL,2019-07-06 18:42:45.259338
d9cae120433560082fc206fdca57f04f,a93a760be49970f7b40a38a56ee28ab2,a928e61168e6fc778ea1c7ee35066cb3,politics,Liberal,2019-07-06 18:42:45.259356
24335560cac977c99e9429cb6fda225f,98a9ed7171b4ccdea6aa8d43bda9c291,a183ac7d0a15e855320f0237f808c53e,drinking,Yes,2019-07-06 18:42:45.259373
4c170bbc4cfd3e6510f946860fa3edfb,a837b556bc20c84d1e889339fb7fb68c,59b27dde6f54a3048f4afbc0cfbe97b5,smoking,No,2019-07-06 18:42:45.259390
3f0d86aae44910c6c6dc074f5b288ed7,e55760e0c57bfc77188068170831792c,24a99cfcaede74cad3e43a0b31902b42,sex,NULL,2019-07-06 18:42:45.259407
c1915d919f7a67a1a50dee62fb3959b0,7861a907701770ebf5a0f776feb40c43,b4985a6226c00be764846eef7131b2eb,notifications,False,2019-07-06 18:42:45.259424
dfd68ac15c1d43d404069a25d35e800f,867248ec24f529897fdbf89a0c1de759,0f75c691b9bd643c98d75659dfc091ff,sex,M,2019-07-06 18:42:45.259442
b7683c96fba7c0e412c44052e196d287,b36293ec49d96cdbe4f14708a8dc6960,4164684d3ea9cd55055dfa8aaddc0311,politics,Liberal,2019-07-06 18:42:45.259459
d1bcbd2afd04d1edc2f6e416518c5aff,9d0fe5ea1c3e51dbfc7102ff4ff41488,27db2555b0e8e2915ef36b4b9b105429,drinking,No,2019-07-06 18:42:45.259482
992fd65d9a993091831cba9b5a4fc6ae,d791ed76d90c3cd32c214814c4961dae,86cec45b02e0c8540dd7958aa8105604,politics,Liberal,2019-07-06 18:42:45.259503
3bd70b906f50da165bceec472bfa37c8,c33d480d756e9a6682ba8595338ac54c,74be92fc36a5034759cfbe37d1101b93,drinking,No,2019-07-06 18:42:45.259525
522cc6f657410ada97aaea6676ce4c91,29fab0c8ee7e158cf7ca87299b86dfc2,6d5fc8d681d525646dd568ab531290bd,notifications,True,2019-07-06 18:42:45.259543
ea5b2ef0ab923d7cce71480f38923167,10ae2f5c98112c124e1fa2eea5888ad3,42ef11c73c90717d961fde884d8d756d,sex,F,2019-07-06 18:42:45.259559
601fda5693c8afdeaea45ea81998b324,1edf66454a59f394e90ed99570d50a75,e1f12e5cede1a731fb62ebb377576fc8,sex,NULL,2019-07-06 18:42:45.259577
4b3b2b4cb377148284a873a29d7eaeb7,ac54b3b7723ad78aa8577bd4a90478df,68d85c8101fb804c366301b7a1888abd,sex,M,2019-07-06 18:42:45.259594
a9b2425524c1745b0756507da211b64f,001df54ccfa02a70147dea89c0799a52,6d5de2b2eec5e25eb01bc6e8cf0ec39c,sex,M,2019-07-06 18:42:45.259611
ab46ff47877642b029d2311f1f71de6a,b9613cb00b18d8ca611cb47b4dd33d22,d91800e51d75325dc5f4c2bcc02b4eae,politics,Prefer Not to Say,2019-07-06 18:42:45.259628
8e590688bf7d6ce00c9b6862d784c9fe,82eca80d9a1641804588e07d456a8db3,aa95563bbbbef26f2feccacb8365c83c,sex,F,2019-07-06 18:42:45.259646
53c2cd4d6852bcd58f32bedebbf256cb,e9127220fc29a715a4a907c66e4c6999,e56346415473ff3c8ba3d1aecdb26145,politics,Conservative,2019-07-06 18:42:45.259664
a17226bc20f8e777fb7ecd887af64f70,083a7651a6b03c25178773b0beb14adb,057a635b6966593762f09bc5a31fce70,drinking,Maybe,2019-07-06 18:42:45.259681
693bfc4f4b8787fee3f4b9d311627c2f,6b0367bb5df45ea49caab8ca7674da15,ead511008d425f202ba76bffacab2895,notifications,True,2019-07-06 18:42:45.259698
a03e2390bfe5992d10bfdcee7fe3efa7,e00bf3e046a0ca54abe001790c74d6ab,706dcc6cc67958dd3f2cd88246117157,notifications,False,2019-07-06 18:42:45.259717
1785ca4f120ed70142eb505e3feca200,edaa74a6bba25f85f3ab77ee38b07ca3,ba2ffb80ad1464508eaae7837c00411d,smoking,Yes,2019-07-06 18:42:45.259742
a3ac07b4cef05234f602bfb5ca48710f,c446a37ffb10761e7e707025623764f9,6967195450985387bd41477e47f4ae50,drinking,Yes,2019-07-06 18:42:45.259759
c7f0d39beb997a1ccca65962b46c4245,6a2149ef594ce714df4a91ee97a545d2,30c540a2aa1cba367b0ff6495a8a9b65,sex,M,2019-07-06 18:42:45.259777
4f406e9b5b14fa42079ea8d24accc5f3,16273abdfe912b8ecadbc64267aa8c87,4b31b9b0dc0a729a31efe04a71efd490,sex,M,2019-07-06 18:42:45.259795
51bbea0b7abead87daa16a1c98ca4660,a3d0aadc9b43c9cafc93574498ee7119,e1944a4be4127af25cde4817348219cf,notifications,False,2019-07-06 18:42:45.259818
b8effcc66475d7c540f21d61f1959a2c,a7b14232d67a920380734c9b08f6a233,caa93567d75167753e434e4e0f8fba0a,notifications,False,2019-07-06 18:42:45.259837
4d01ba3e7b27ac2e82debe27248ddd87,1da5ea1a50050027b5ba74f8d41d6975,65c9f283a6b0d96a6eeb3fe427bd15da,drinking,Yes,2019-07-06 18:42:45.259855
c917a2dd93f521bdaf1c5dcfea670693,5c0187dca58d8763a75254e37c832573,b85eb9fd758252a86e5352fe850fb4f0,sex,F,2019-07-06 18:42:45.259877
9cfd10913df8bfec6b00d1a72dd8ca69,ceb7bc854b38063251c7688b567f1b9a,7b8ae65246e451aa57d4187554ee733c,sex,M,2019-07-06 18:42:45.259894
